Text#,Title,Authors
18786,Treachery in Outer Space,"Rockwell, Carey; Ley, Willy, 1906-1969 [Contributor]; Glanzman, Louis [Illustrator]"
18800,Last Enemy,"Piper, H. Beam, 1904-1964"
18807,He Walked Around the Horses,"Piper, H. Beam, 1904-1964; Cartier, Edd, 1914-2008 [Illustrator]"
18814,The Mercenaries,"Piper, H. Beam, 1904-1964"
18817,Ralestone Luck,"Norton, Andre, 1912-2005; Reid, James, 1907-1989 [Illustrator]"
18831,Time and Time Again,"Piper, H. Beam, 1904-1964; Napoli, Vincent, 1907-1981 [Illustrator]"
18846,Voodoo Planet,"Norton, Andre, 1912-2005"
18855,The Return,"McGuire, John J. (John Joseph), 1917-1981; Piper, H. Beam, 1904-1964; Freas, Kelly, 1922-2005 [Illustrator]"
18857,A Journey to the Centre of the Earth,"Verne, Jules, 1828-1905"
18861,Temple Trouble,"Piper, H. Beam, 1904-1964"
18949,Day of the Moron,"Piper, H. Beam, 1904-1964"
19000,Printcrime,"Doctorow, Cory, 1971-"
19027,The Revolt on Venus,"Rockwell, Carey; Ley, Willy, 1906-1969 [Contributor]; Glanzman, Louis [Illustrator]"
19029,The Gifts of Asti,"Norton, Andre, 1912-2005"
19066,Brigands of the Moon,"Cummings, Ray, 1887-1957"
19067,Police Operation,"Piper, H. Beam, 1904-1964"
19076,Naudsonce,"Piper, H. Beam, 1904-1964"
19090,Star Hunter,"Norton, Andre, 1912-2005"
19102,Dearest,"Piper, H. Beam, 1904-1964; Napoli, Vincent, 1907-1981 [Illustrator]"
19111,Code Three,"Raphael, Rick, 1919-1994; Schoenherr, John, 1935-2010 [Illustrator]"
19141,Edison's Conquest of Mars,"Serviss, Garrett Putman, 1851-1929"
19145,The Time Traders,"Norton, Andre, 1912-2005"
19158,The Return,"McGuire, John J. (John Joseph), 1917-1981; Piper, H. Beam, 1904-1964"
19174,The Man Who Rocked the Earth,"Train, Arthur Cheney, 1875-1945; Wood, Robert Williams, 1868-1955"
19231,The mummy and Miss Nitocris : a phantasy of the fourth dimension,"Griffith, George Chetwynd, 1857-1906"
19338,The Keeper,"Piper, H. Beam, 1904-1964"
19362,In the year 2889,"Verne, Jules, 1828-1905; Verne, Michel, 1861-1925"
19370,Ullr Uprising,"Piper, H. Beam, 1904-1964"
19445,Omnilingual,"Piper, H. Beam, 1904-1964; Freas, Kelly, 1922-2005 [Illustrator]"
19471,Badge of Infamy,"Del Rey, Lester, 1915-1993"
19474,Uller Uprising,"Piper, H. Beam, 1904-1964; Carr, John F., 1944- [Contributor]; Clark, John D. (John Drury), 1907-1988 [Contributor]"
19476,A Honeymoon in Space,"Griffith, George Chetwynd, 1857-1906"
19478,Four-Day Planet,"Piper, H. Beam, 1904-1964"
19526,Stand by for Mars!,"Rockwell, Carey; Ley, Willy, 1906-1969 [Contributor]; Glanzman, Louis [Illustrator]"
19651,Key Out of Time,"Norton, Andre, 1912-2005"
19660,Man of Many Minds,"Evans, E. Everett (Edward Everett), 1893-1958"
